prov_ubie;cant_ubie;parr_ubie;clase;tipo;entidad;sector;dotmedic;dotcirug;dotginob;dotpedia;dotcardi;dotneumo;dotpsiqu;dottraum;dotinfec;dotoftal;doturolo;dotgast;dototrse;dotserin;dotemerg;dotcinte;dismedic;discirug;disginob;dispedia;discardi;disneumo;dispsiqu;distraum;disinfec;disoftal;disurolo;disgast;disotrse;disserin;disemerg;discinte;camas_dnor;camas_disp;falmen48;falmas48;dia_estad;dias_cdis;totegres
13;1308;130850;1;5;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;112;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;65; ; ;112;65;18;49;17507;21830;6054
13;1301;130150;2;1;6;1;36;13;6;20;8;8;1;6;1;2;2;6;0;0;16;9;36;13;6;20;8;8;1;6;1;2;2;6;0;0; ; ;109;109;17;137;49460;46119;8647
14;1401;140150;2;1;1;1;16;17;20;17;0;0;0;0;0;0;0;0;0;0;0;0;15;20;17;17;0;0;0;0;0;0;0;0;0;0; ; ;70;69;24;26;18372;25185;4888
14;1402;140250;1;5;1;1;8;2;4;4;0;0;0;0;0;0;0;0;0;0;0;0;8;2;4;4;0;0;0;0;0;0;0;0;0;0; ; ;18;18;9;8;8784;6570;2665
14;1403;140350;1;5;1;1;8;3;6;8;0;0;0;0;0;0;0;0;0;0;1;0;8;3;7;5;0;0;0;0;0;0;0;0;0;0; ; ;25;23;4;3;4575;8395;1625
14;1405;140550;1;5;1;1;6;2;5;6;0;0;0;0;0;0;0;0;0;0;6;0;6;2;5;6;0;0;0;0;0;0;0;0;0;0; ; ;19;19;4;2;4845;6935;1891
14;1406;140650;1;5;1;1;16;8;14;12;0;0;0;0;0;0;0;0;0;0;0;0;16;8;14;12;0;0;0;0;0;0;0;0;0;0; ; ;50;50;8;17;11498;18250;3113
14;1409;140950;1;5;1;1;3;0;3;4;0;0;0;0;0;0;0;0;0;0;13;0;3;0;3;4;0;0;0;0;0;0;0;0;0;0; ; ;10;10;0;0;2285;3650;680
14;1401;140150;1;5;6;1;0;4;4;5;0;0;0;2;0;0;2;0;5;0;0;0;0;4;4;5;0;0;0;2;0;0;2;0;5;0; ; ;22;22;5;1;3327;8030;1053
15;1501;150150;2;1;1;1;21;22;22;19;0;0;0;0;0;0;0;0;12;0;0;0;21;22;22;19;0;0;0;0;0;0;0;0;12;0; ; ;96;96;4;21;19396;35040;6041
15;1507;150750;1;5;1;1;11;7;10;3;0;0;0;0;0;0;0;0;0;0;0;0;11;7;10;3;0;0;0;0;0;0;0;0;0;0; ; ;31;31;0;4;1811;11315;604
15;1503;150350;1;5;18;2;16;6;7;8;0;0;0;8;2;0;0;0;0;0;0;0;16;6;7;8;0;0;0;8;2;0;0;0;0;0; ; ;47;47;0;4;2953;17155;809
