"PROVINCIA_ESTABLECIMIENTO","CANTO_ESTABLECIMIENTO","PARROQUIA_UBICACION","CLASE_ESTABLECIMIENTO","TIPO_ESTABLECIMIENTO","ENTIDAD","SECTOR","MEDICINA","CIRUGIA","GINECOLOGIA_OBSTETRICIA","PEDIATRIA","CARDIOLOGIA","NEUMOLOGIA","PSIQUIATRIA","TRAUMATOLOGIA","INFECTOLOGIA","OFTALMOLOGIA_OTORRINO","UROLOGIA","GASTROENTEROLOGIA","OTROS_SERVICIOS","SERVICIOS_INDIFERENCIADOS","CAMAS_EMERGENCIA","CAMAS_CUIDADOS_INTENSIVOS","CAMAS_DISPONIBLES_MEDICINA","CAMAS_DISPONIBLES_CIRUGIA","CAMAS_DISPONIBLES_GINECOLOGIA","CAMAS_DISPONIBLE_PEDIATRIA","CAMAS_DISPONIBLES_CARDIOLOGIA","CAMAS_DISPONIBLES_NEUMOLOGIA","CAMAS_DISPONIBLE_PSIQUIATRIA","CAMAS_DISPONIBLE_TRAUMOLOGIA","CAMAS_DISPONIBLES_INFECTOLOGIA","CAMAS_DISPONIBLES_OFTALMOLOGIA","CAMAS_DISPONIBLES_UROLOGIA","CAMAS_DISPONIBLES_GASTROENTEROLOGIA","CAMAS_DISPONIBLES_OTROS_SERVICIOS","CAMAS_DISPONIBLES_SERVICIOS_INDIFERENCIADOS","CAMAS_DISPONIBLES_EMERGENCIA","CAMAS_DISPONIBLES_CUIDADOS_INTENSIVOS","TOTAL_CAMAS_DONACION_NORMAL","TOTAL_CAMAS_DISPONIBLES","NUMERO_FALLECIDOS_MENOR_48H","NUMERO_FALLECIDOS_EN_48H_Y_MAS","DIAS_DE_ESTADA","DIAS_CAMAS_DISPONIBLES","NUMERO_DE_EGRESOS"
"Pichincha","Quito","170180","12","3","18","2","0","0","0","2","0","0","0","0","0","0","0","0","0","10","2","0","0","0","0","2","0","0","0","0","0","0","0","0","0","10"," "," ","12","12","0","1","242","4392","98"
"Pichincha","Quito","170150","12","3","18","2","0","0","0","1","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","11"," "," ","12","12","0","0","291","4392","204"
"Imbabura","Ibarra","100150","12","3","18","2","0","0","0","2","0","0","0","0","0","0","0","0","0","16","2","1","0","0","0","2","0","0","0","0","0","0","0","0","0","16"," "," ","18","18","5","1","1587","6588","992"
"Imbabura","Ibarra","100150","12","3","18","2","0","0","0","0","0","0","0","0","0","0","0","0","0","8","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8"," "," ","8","8","0","0","229","2928","228"
"Pichincha","Quito","170150","12","3","18","2","0","0","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11"," "," ","11","11","1","0","545","4026","360"
"Pichincha","Quito","170150","12","3","18","2","0","0","25","24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25","24","0","0","0","0","0","0","0","0","0","0"," "," ","49","49","0","0","3773","17873","1994"
"Pichincha","Quito","170150","12","3","18","2","3","2","2","1","1","1","1","1","0","0","1","0","0","0","0","0","3","2","2","1","1","1","1","1","0","0","1","0","0","0"," "," ","13","13","0","0","904","4758","644"
"Imbabura","Ibarra","100150","12","3","18","2","0","0","0","0","0","0","0","0","0","0","0","0","0","18","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","18"," "," ","18","18","1","3","2567","6588","1322"
"Pichincha","Quito","170150","12","3","18","2","0","0","0","0","0","0","0","0","0","0","0","0","0","23","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","20"," "," ","23","20","31","74","6212","7322","1661"
"Pichincha","Quito","170150","12","3","18","2","0","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9"," "," ","9","9","0","0","2397","3294","1318"
